CompensationCurrency,GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,LanguageRecommendationSelect,CompensationAmount,ExchangeRate(USA),CompensationYearUSD,Density
PLN,Male,Poland,39,Employed full-time,,,Yes,,Programmer,Fine,Employed by government,No,Doctoral degree,Physics,Less than a year,Python,85000,0.281104,23893.84,320.4
PLN,Male,Poland,56,Employed full-time,,,Yes,,Programmer,Perfectly,Employed by college or university,No,Master's degree,Physics,3 to 5 years,R,60000,0.281104,16866.24,320.4
RON,Male,India,32,Employed full-time,,,Yes,,Computer Scientist,Fine,Employed by college or university,Yes,Doctoral degree,Computer Science,3 to 5 years,C/C++/C#,32000,0.259964,8318.848,1190
RON,Male,India,29,Employed full-time,,,Yes,,Business Analyst,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Master's degree,Electrical Engineering,1 to 2 years,,80000,0.259964,20797.12,1190
RON,Female,Malaysia,23,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Bachelor's degree,Computer Science,Less than a year,SQL,,0.259964,,251.9
RON,Male,Nigeria,29,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,,Master's degree,"Information technology, networking, or system administration",6 to 10 years,Python,45000,0.259964,11698.38,571.6
RON,Female,Romania,29,"Independent contractor, freelancer, or self-employed",,,Yes,,Researcher,Fine,Employed by college or university,Sort of (Explain more),Master's degree,Computer Science,3 to 5 years,,28800,0.259964,7486.9632,217.9
RON,Male,Romania,36,Employed full-time,,,Yes,,Other,Poorly,Employed by a company that doesn't perform advanced analytics,No,Some college/university study without earning a bachelor's degree,Electrical Engineering,3 to 5 years,Python,118000,0.259964,30675.752,217.9
RON,Male,Romania,30,Employed full-time,,,Yes,,Data Scientist,Poorly,Employed by a company that doesn't perform advanced analytics,,Master's degree,Engineering (non-computer focused),3 to 5 years,R,65000,0.259964,16897.66,217.9
RSD,Male,Brazil,33,"Independent contractor, freelancer, or self-employed",,,Yes,,Engineer,Fine,Employed by college or university,No,Master's degree,Electrical Engineering,3 to 5 years,R,50000,0.01002,501,65.4
RSD,Female,India,37,Employed full-time,,,Yes,,Other,Perfectly,Employed by college or university,No,Master's degree,Computer Science,Less than a year,R,25000,0.01002,250.5,1190
RSD,Male,India,42,Employed full-time,,,Yes,,Other,Fine,Employed by government,Yes,Master's degree,Computer Science,Less than a year,Python,90000,0.01002,901.8,1190
RSD,Female,India,36,Employed full-time,,,Yes,,Researcher,Fine,Employed by college or university,No,Master's degree,Computer Science,Less than a year,R,50000,0.01002,501,1190
RSD,Male,Other,33,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by college or university,Yes,Doctoral degree,Other,1 to 2 years,R,720000,0.01002,7214.4,0
RSD,Male,South Africa,54,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by a company that performs advanced analytics,No,Bachelor's degree,,More than 10 years,Python,720000,0.01002,7214.4,125
RUB,Female,India,43,Employed full-time,,,Yes,,Researcher,Fine,Employed by college or university,Yes,Doctoral degree,Electrical Engineering,I don't write code to analyze data,R,75000,0.017402,1305.15,1190
RUB,Male,India,23,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by professional services/consulting firm,,Bachelor's degree,Computer Science,1 to 2 years,Python,18000,0.017402,313.236,1190
RUB,Male,India,25,Employed full-time,,,Yes,,Data Miner,Perfectly,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Bachelor's degree,Engineering (non-computer focused),Less than a year,,,0.017402,,1190
RUB,Male,Other,39,Employed full-time,,,Yes,,Programmer,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Electrical Engineering,More than 10 years,C/C++/C#,216000,0.017402,3758.832,0
RUB,Male,Other,32,Employed full-time,,,Yes,,Machine Learning Engineer,Poorly,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Computer Science,1 to 2 years,Python,1200000,0.017402,20882.4,0
RUB,Male,Russia,38,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by professional services/consulting firm,Yes,Doctoral degree,Physics,3 to 5 years,Python,1680000,0.017402,29235.36,23.07
RUB,Male,Russia,32,Employed full-time,,,Yes,,Programmer,Fine,Employed by professional services/consulting firm,No,Professional degree,,Less than a year,Python,700000,0.017402,12181.4,23.07
RUB,Male,Russia,30,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Master's degree,Computer Science,6 to 10 years,Scala,120000,0.017402,2088.24,23.07
RUB,Female,Russia,24,Employed full-time,,,Yes,,Business Analyst,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,,Less than a year,Python,840000,0.017402,14617.68,23.07
RUB,Male,Russia,21,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by a company that performs advanced analytics,Yes,Bachelor's degree,Computer Science,3 to 5 years,Python,1400000,0.017402,24362.8,23.07
RUB,Male,Russia,23,Employed full-time,,,Yes,,Software Developer/Software Engineer,Poorly,Employed by a company that performs advanced analytics,Yes,Bachelor's degree,Computer Science,3 to 5 years,Python,1020000,0.017402,17750.04,23.07
RUB,Male,Russia,31,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Scientist,Fine,Self-employed,,Some college/university study without earning a bachelor's degree,,6 to 10 years,Python,150000,0.017402,2610.3,23.07
RUB,Female,Russia,25,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Scientist,Fine,"Employed by a company that doesn't perform advanced analytics,Self-employed",,Master's degree,A social science,1 to 2 years,Python,60000,0.017402,1044.12,23.07
RUB,Male,Russia,31,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by company that makes advanced analytic software,Sort of (Explain more),Master's degree,Computer Science,1 to 2 years,Python,1680000,0.017402,29235.36,23.07
RUB,Male,Russia,20,Employed part-time,,,Yes,,Researcher,Fine,Employed by college or university,Yes,Bachelor's degree,Mathematics or statistics,3 to 5 years,Python,,0.017402,,23.07
RUB,Male,Russia,28,Employed full-time,,,Yes,,Business Analyst,Fine,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics",Sort of (Explain more),Master's degree,Mathematics or statistics,6 to 10 years,Python,,0.017402,,23.07
RUB,Male,Russia,31,Employed full-time,,,Yes,,Predictive Modeler,Poorly,Employed by professional services/consulting firm,Yes,Bachelor's degree,Mathematics or statistics,6 to 10 years,Python,3458000,0.017402,60176.116,23.07
RUB,Male,Russia,32,"Independent contractor, freelancer, or self-employed",,,Yes,,Business Analyst,Fine,Self-employed,Yes,Master's degree,A social science,More than 10 years,SQL,4500000,0.017402,78309,23.07
RUB,Male,Russia,33,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Physics,1 to 2 years,R,2000000,0.017402,34804,23.07
RUB,Male,Russia,31,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Master's degree,Mathematics or statistics,6 to 10 years,Python,250000,0.017402,4350.5,23.07
RUB,Female,Russia,26,Employed full-time,,,Yes,,Scientist/Researcher,Perfectly,Employed by company that makes advanced analytic software,Yes,Doctoral degree,Other,1 to 2 years,Python,110000,0.017402,1914.22,23.07
RUB,Male,Russia,26,Employed full-time,,,Yes,,Machine Learning Engineer,Perfectly,Employed by professional services/consulting firm,Yes,Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,Python,1620000,0.017402,28191.24,23.07
RUB,Male,Russia,25,Employed full-time,,,Yes,,Data Analyst,,,Yes,Master's degree,Mathematics or statistics,1 to 2 years,Python,120000,0.017402,2088.24,23.07
RUB,Male,Russia,23,Employed full-time,,,Yes,,Software Developer/Software Engineer,Poorly,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Bachelor's degree,Computer Science,1 to 2 years,Python,2289008,0.017402,39833.31722,23.07
RUB,Male,Russia,28,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by college or university,Yes,Doctoral degree,Computer Science,6 to 10 years,Python,2000000,0.017402,34804,23.07
RUB,Male,Russia,41,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,Python,150000,0.017402,2610.3,23.07
RUB,Male,Russia,30,Employed full-time,,,Yes,,Engineer,Poorly,Employed by non-profit or NGO,No,Master's degree,Engineering (non-computer focused),Less than a year,Matlab,25000,0.017402,435.05,23.07
RUB,Male,Russia,28,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Doctoral degree,Mathematics or statistics,1 to 2 years,Python,160000,0.017402,2784.32,23.07
RUB,Male,Russia,28,Employed full-time,,,Yes,,Data Scientist,Fine,"Employed by a company that performs advanced analytics,Employed by a company that doesn't perform advanced analytics",,Master's degree,Other,Less than a year,Python,78000,0.017402,1357.356,23.07
RUB,Male,Russia,46,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by college or university,No,Doctoral degree,Engineering (non-computer focused),1 to 2 years,R,400000,0.017402,6960.8,23.07
RUB,Female,Russia,25,Employed full-time,,,Yes,,Business Analyst,Perfectly,Employed by professional services/consulting firm,No,Professional degree,,3 to 5 years,Python,2800000,0.017402,48725.6,23.07
RUB,Male,Russia,39,Employed full-time,,,Yes,,Software Developer/Software Engineer,Perfectly,Employed by company that makes advanced analytic software,No,Master's degree,Mathematics or statistics,More than 10 years,Python,1700000,0.017402,29583.4,23.07
RUB,Male,Russia,33,Employed full-time,,,Yes,,Other,Fine,Employed by company that makes advanced analytic software,Yes,Master's degree,Computer Science,3 to 5 years,Python,600000,0.017402,10441.2,23.07
RUB,Male,Russia,23,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,,Bachelor's degree,Computer Science,1 to 2 years,C/C++/C#,30000,0.017402,522.06,23.07
RUB,Male,Russia,21,Employed full-time,,,Yes,,Predictive Modeler,Poorly,Employed by company that makes advanced analytic software,No,Some college/university study without earning a bachelor's degree,Physics,1 to 2 years,Python,40000,0.017402,696.08,23.07
RUB,Male,Russia,60,Employed full-time,,,Yes,,Machine Learning Engineer,Perfectly,Employed by a company that performs advanced analytics,Yes,Doctoral degree,Physics,More than 10 years,Python,200000,0.017402,3480.4,23.07
RUB,Female,Russia,23,Employed full-time,,,Yes,,Data Scientist,Poorly,"Employed by company that makes advanced analytic software,Employed by college or university,Employed by a company that performs advanced analytics",,Master's degree,Mathematics or statistics,1 to 2 years,R,780000,0.017402,13573.56,23.07
RUB,Female,Russia,22,Employed full-time,,,Yes,,Data Scientist,Fine,"Employed by professional services/consulting firm,Employed by a company that doesn't perform advanced analytics",,Bachelor's degree,Computer Science,Less than a year,Java,624000,0.017402,10858.848,23.07
RUB,Male,Russia,26,Employed part-time,,,Yes,,Scientist/Researcher,Fine,Self-employed,Yes,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,Python,,0.017402,,23.07
RUB,Female,Russia,32,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by college or university,Yes,Doctoral degree,Computer Science,More than 10 years,Python,10000,0.017402,174.02,23.07
RUB,Male,Russia,46,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by college or university,Yes,Doctoral degree,Mathematics or statistics,3 to 5 years,R,80000,0.017402,1392.16,23.07
RUB,Male,Russia,29,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Electrical Engineering,1 to 2 years,C/C++/C#,1100000,0.017402,19142.2,23.07
RUB,Female,Russia,22,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Master's degree,Computer Science,1 to 2 years,Python,1300000,0.017402,22622.6,23.07
RUB,Male,Russia,33,Employed full-time,,,Yes,,Other,Perfectly,Employed by professional services/consulting firm,No,Master's degree,Physics,1 to 2 years,Python,2000000,0.017402,34804,23.07
RUB,Male,Russia,28,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,,Master's degree,Mathematics or statistics,6 to 10 years,Python,210000,0.017402,3654.42,23.07
RUB,Male,Russia,30,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by a company that doesn't perform advanced analytics,,Master's degree,Computer Science,More than 10 years,Python,2700000,0.017402,46985.4,23.07
RUB,Male,Russia,30,Employed full-time,,,Yes,,Other,Fine,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Sort of (Explain more),Doctoral degree,Other,3 to 5 years,Python,850000,0.017402,14791.7,23.07
RUB,Male,Russia,23,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,,Master's degree,Mathematics or statistics,1 to 2 years,Python,520000,0.017402,9049.04,23.07
RUB,Male,Russia,23,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Bachelor's degree,Biology,1 to 2 years,Python,1320000,0.017402,22970.64,23.07
RUB,Female,Russia,24,Employed full-time,,,Yes,,Business Analyst,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Master's degree,Mathematics or statistics,1 to 2 years,Python,52000,0.017402,904.904,23.07
RUB,Male,Russia,43,Employed full-time,,,Yes,,Programmer,Fine,"Employed by college or university,Employed by a company that doesn't perform advanced analytics,Employed by government",No,Professional degree,,Less than a year,C/C++/C#,800000,0.017402,13921.6,23.07
RUB,Male,Russia,22,Employed full-time,,,Yes,,Computer Scientist,Perfectly,Employed by company that makes advanced analytic software,Yes,Bachelor's degree,Computer Science,1 to 2 years,Haskell,528000,0.017402,9188.256,23.07
RUB,Male,Russia,34,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by professional services/consulting firm,Yes,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,Python,1500000,0.017402,26103,23.07
RUB,Male,Russia,22,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Computer Science,3 to 5 years,R,70000,0.017402,1218.14,23.07
RUB,Male,Russia,23,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by professional services/consulting firm,Yes,I prefer not to answer,Mathematics or statistics,Less than a year,Python,,0.017402,,23.07
RUB,Male,Russia,23,Employed part-time,,,Yes,,Computer Scientist,Poorly,"Employed by college or university,Employed by government",Yes,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,Python,256,0.017402,4.454912,23.07
RUB,Female,Russia,24,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,,Master's degree,Mathematics or statistics,1 to 2 years,Python,960000,0.017402,16705.92,23.07
RUB,Male,Russia,21,Employed part-time,,,Yes,,Computer Scientist,Fine,Employed by college or university,Yes,Bachelor's degree,Computer Science,1 to 2 years,Python,60000,0.017402,1044.12,23.07
RUB,Male,Russia,35,Employed full-time,,,Yes,,Scientist/Researcher,Poorly,Employed by professional services/consulting firm,Yes,Professional degree,,1 to 2 years,Julia,610000,0.017402,10615.22,23.07
RUB,Male,Russia,25,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by company that makes advanced analytic software,Yes,Master's degree,Electrical Engineering,3 to 5 years,Python,73000,0.017402,1270.346,23.07
RUB,Female,Russia,50,Employed full-time,,,Yes,,Data Scientist,Poorly,Employed by company that makes advanced analytic software,,Doctoral degree,Physics,3 to 5 years,Python,2500000,0.017402,43505,23.07
RUB,Male,Russia,25,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by professional services/consulting firm,,Master's degree,Mathematics or statistics,3 to 5 years,Python,1200000,0.017402,20882.4,23.07
RUB,Male,Russia,23,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Mathematics or statistics,1 to 2 years,Python,1380000,0.017402,24014.76,23.07
RUB,Male,Russia,25,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by company that makes advanced analytic software,Yes,Professional degree,,3 to 5 years,Python,0,0.017402,0,23.07
RUB,Male,Russia,25,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Bachelor's degree,A social science,1 to 2 years,Python,130000,0.017402,2262.26,23.07
RUB,Female,Russia,27,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Master's degree,Mathematics or statistics,1 to 2 years,R,2000000,0.017402,34804,23.07
RUB,Male,Russia,30,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Master's degree,"Information technology, networking, or system administration",3 to 5 years,Python,1500000,0.017402,26103,23.07
RUB,Female,Russia,27,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Professional degree,,3 to 5 years,Python,180000,0.017402,3132.36,23.07
RUB,Male,Russia,20,Employed part-time,,,Yes,,Researcher,Fine,Employed by a company that performs advanced analytics,No,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,Python,780000,0.017402,13573.56,23.07
RUB,Male,Russia,38,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by non-profit or NGO,Yes,Doctoral degree,Biology,1 to 2 years,Python,480000,0.017402,8352.96,23.07
RUB,Male,Russia,36,Employed part-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Bachelor's degree,Mathematics or statistics,1 to 2 years,Python,720000,0.017402,12529.44,23.07
RUB,Male,Russia,25,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Bachelor's degree,,Less than a year,R,720000,0.017402,12529.44,23.07
RUB,Male,Russia,25,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by professional services/consulting firm,,Master's degree,Mathematics or statistics,1 to 2 years,Python,1500000,0.017402,26103,23.07
RUB,Female,Russia,25,Employed full-time,,,Yes,,Software Developer/Software Engineer,Perfectly,Employed by professional services/consulting firm,No,Master's degree,Mathematics or statistics,1 to 2 years,Python,1080000,0.017402,18794.16,23.07
RUB,Male,Russia,28,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Mathematics or statistics,Less than a year,Python,864000,0.017402,15035.328,23.07
RUB,Male,Russia,34,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Mathematics or statistics,3 to 5 years,Python,2000000,0.017402,34804,23.07
RUB,Male,Russia,32,Employed full-time,,,Yes,,Programmer,Perfectly,Self-employed,Yes,I did not complete any formal education past high school,,1 to 2 years,Python,1680000,0.017402,29235.36,23.07
RUB,Male,Russia,30,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Mathematics or statistics,3 to 5 years,Python,1800000,0.017402,31323.6,23.07
RUB,Female,Russia,55,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Scientist,Fine,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Self-employed",,Doctoral degree,A health science,More than 10 years,C/C++/C#,24000,0.017402,417.648,23.07
RUB,Male,Russia,28,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by college or university,Yes,Master's degree,Mathematics or statistics,3 to 5 years,R,300000,0.017402,5220.6,23.07
RUB,Male,Russia,23,Employed full-time,,,Yes,,Programmer,Fine,Employed by government,Yes,Bachelor's degree,Computer Science,1 to 2 years,Python,35000,0.017402,609.07,23.07
RUB,Female,Russia,45,Employed full-time,,,Yes,,Researcher,Fine,Employed by college or university,Yes,Doctoral degree,Physics,Less than a year,Python,30000,0.017402,522.06,23.07
RUB,Male,Russia,34,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by professional services/consulting firm,,Master's degree,Engineering (non-computer focused),Less than a year,Python,360000,0.017402,6264.72,23.07
RUB,Male,Russia,22,Employed full-time,,,Yes,,Programmer,Fine,Employed by a company that performs advanced analytics,No,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,Python,33000,0.017402,574.266,23.07
RUB,Male,Russia,34,Employed full-time,,,Yes,,Business Analyst,Poorly,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Master's degree,,1 to 2 years,Python,480000,0.017402,8352.96,23.07
RUB,Male,Russia,27,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by college or university,Yes,Professional degree,,1 to 2 years,Python,800000,0.017402,13921.6,23.07
RUB,Male,Russia,41,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Professional degree,,3 to 5 years,R,,0.017402,,23.07
RUB,Male,Russia,33,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Bachelor's degree,Other,1 to 2 years,Python,1200000,0.017402,20882.4,23.07
RUB,Male,Russia,22,Employed full-time,,,Yes,,Data Analyst,Fine,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics",Yes,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,Python,624000,0.017402,10858.848,23.07
RUB,Male,Russia,31,"Independent contractor, freelancer, or self-employed",,,Yes,,Business Analyst,Fine,Self-employed,Sort of (Explain more),Some college/university study without earning a bachelor's degree,Computer Science,6 to 10 years,R,840000,0.017402,14617.68,23.07
RUB,Male,Russia,34,"Independent contractor, freelancer, or self-employed",,,Yes,,Researcher,Perfectly,Self-employed,Yes,Professional degree,,3 to 5 years,Python,3600000,0.017402,62647.2,23.07
RUB,Male,Russia,26,"Independent contractor, freelancer, or self-employed",,,Yes,,Machine Learning Engineer,Poorly,Self-employed,Yes,Bachelor's degree,Computer Science,Less than a year,Python,60000,0.017402,1044.12,23.07
RUB,Male,Russia,28,Employed full-time,,,Yes,,Computer Scientist,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Doctoral degree,Other,6 to 10 years,C/C++/C#,484000,0.017402,8422.568,23.07
RUB,Male,Russia,44,Employed full-time,,,Yes,,Data Analyst,Poorly,Employed by a company that performs advanced analytics,Yes,Master's degree,Mathematics or statistics,1 to 2 years,Python,700000,0.017402,12181.4,23.07
RUB,Male,Russia,28,Employed full-time,,,Yes,,Computer Scientist,Fine,Employed by a company that performs advanced analytics,Yes,Professional degree,,Less than a year,Python,1500000,0.017402,26103,23.07
RUB,Female,Russia,24,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by professional services/consulting firm,,Bachelor's degree,Mathematics or statistics,1 to 2 years,Python,420000,0.017402,7308.84,23.07
RUB,Male,Russia,21,"Independent contractor, freelancer, or self-employed",,,Yes,,Computer Scientist,Fine,Self-employed,Yes,Master's degree,Computer Science,1 to 2 years,R,0,0.017402,0,23.07
RUB,Male,Russia,21,Employed part-time,,,Yes,,Data Scientist,Perfectly,Employed by company that makes advanced analytic software,,Bachelor's degree,Computer Science,1 to 2 years,Python,30000,0.017402,522.06,23.07
RUB,Male,Russia,33,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,"Employed by company that makes advanced analytic software,Employed by government,Self-employed",Yes,Master's degree,Computer Science,More than 10 years,Python,660000,0.017402,11485.32,23.07
RUB,Male,Russia,27,Employed part-time,,,Yes,,Data Scientist,Fine,Employed by professional services/consulting firm,,Master's degree,Electrical Engineering,1 to 2 years,Python,670000,0.017402,11659.34,23.07
RUB,Male,Russia,27,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,"Information technology, networking, or system administration",6 to 10 years,Python,1400000,0.017402,24362.8,23.07
RUB,Male,Russia,43,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by professional services/consulting firm,,Doctoral degree,Other,More than 10 years,Python,3600000,0.017402,62647.2,23.07
RUB,Male,Russia,27,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by company that makes advanced analytic software,No,Professional degree,,3 to 5 years,Python,1820000,0.017402,31671.64,23.07
RUB,Male,Russia,22,Employed full-time,,,Yes,,Predictive Modeler,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Bachelor's degree,Computer Science,Less than a year,Python,30000,0.017402,522.06,23.07
RUB,Male,Russia,24,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Master's degree,Computer Science,3 to 5 years,Python,1800000,0.017402,31323.6,23.07
RUB,Female,Russia,21,Employed full-time,,,Yes,,Data Scientist,Perfectly,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",,I did not complete any formal education past high school,,1 to 2 years,Python,540000,0.017402,9397.08,23.07
RUB,Male,Russia,24,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Computer Science,3 to 5 years,Haskell,1350000,0.017402,23492.7,23.07
RUB,Male,Russia,,Employed part-time,,,Yes,,Data Analyst,Fine,Employed by professional services/consulting firm,No,Professional degree,,1 to 2 years,R,1440000,0.017402,25058.88,23.07
RUB,Male,Russia,30,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by professional services/consulting firm,,Professional degree,,1 to 2 years,Python,1320000,0.017402,22970.64,23.07
RUB,Male,Russia,26,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Professional degree,,1 to 2 years,Python,120000,0.017402,2088.24,23.07
RUB,Male,Russia,26,Employed full-time,,,Yes,,Machine Learning Engineer,Poorly,Employed by a company that doesn't perform advanced analytics,Yes,Master's degree,Mathematics or statistics,1 to 2 years,R,477600,0.017402,8311.1952,23.07
RUB,Male,Russia,28,Employed full-time,,,Yes,,Machine Learning Engineer,Poorly,Employed by professional services/consulting firm,No,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),3 to 5 years,Python,2000000,0.017402,34804,23.07
RUB,Female,Russia,21,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by a company that performs advanced analytics,Yes,Bachelor's degree,Other,1 to 2 years,Python,720000,0.017402,12529.44,23.07
RUB,Male,Russia,28,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Master's degree,Management information systems,3 to 5 years,Python,840000,0.017402,14617.68,23.07
RUB,Female,Russia,22,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Computer Science,1 to 2 years,Python,450000,0.017402,7830.9,23.07
RUB,Male,Russia,30,Employed full-time,,,Yes,,Computer Scientist,Fine,Employed by professional services/consulting firm,Yes,Bachelor's degree,"Information technology, networking, or system administration",6 to 10 years,R,90000,0.017402,1566.18,23.07
RUB,Male,Russia,28,Employed full-time,,,Yes,,Data Analyst,Poorly,Employed by a company that doesn't perform advanced analytics,No,Master's degree,"Information technology, networking, or system administration",1 to 2 years,Other,1300000,0.017402,22622.6,23.07
RUB,Female,Russia,24,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by company that makes advanced analytic software,Yes,Bachelor's degree,Computer Science,1 to 2 years,,130000,0.017402,2262.26,23.07
RUB,Male,Russia,39,Employed part-time,,,Yes,,Business Analyst,Fine,Employed by a company that performs advanced analytics,No,Master's degree,,More than 10 years,,3600000,0.017402,62647.2,23.07
RUB,Male,Russia,36,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by government,Yes,Master's degree,Physics,3 to 5 years,Python,1200000,0.017402,20882.4,23.07
RUB,Male,Russia,24,Employed full-time,,,Yes,,Predictive Modeler,Fine,Employed by professional services/consulting firm,No,Bachelor's degree,Electrical Engineering,Less than a year,,408000,0.017402,7100.016,23.07
