,CompensationCurrency,GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,LanguageRecommendationSelect,CompensationAmount,ExchangeRate(USA),CompensationYearUSD
3527,USD,Male,United States,36,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics,Self-employed",NA,Doctoral degree,Other,More than 10 years,R,125000,1,125000
3528,USD,Male,United States,32,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by professional services/consulting firm,Yes,Master's degree,A social science,More than 10 years,R,1.00E+05,1,1.00E+05
3529,USD,Female,United States,35,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by a company that performs advanced analytics,No,Doctoral degree,Mathematics or statistics,More than 10 years,Python,299000,1,299000
3530,USD,Male,United States,25,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by non-profit or NGO,NA,Bachelor's degree,Mathematics or statistics,1 to 2 years,R,110000,1,110000
3531,USD,Male,United States,36,Employed full-time,NA,NA,Yes,NA,Programmer,Poorly,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Computer Science,6 to 10 years,Python,115000,1,115000
3532,USD,Male,United States,35,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Mathematics or statistics,More than 10 years,Python,175000,1,175000
3533,USD,Male,United States,22,Employed full-time,NA,NA,Yes,NA,Researcher,Poorly,Employed by professional services/consulting firm,Sort of (Explain more),Bachelor's degree,NA,Less than a year,R,35000,1,35000
3534,USD,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by non-profit or NGO,No,Master's degree,Physics,3 to 5 years,Python,90000,1,90000
3535,USD,Male,United States,23,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Perfectly,Employed by a company that performs advanced analytics,Yes,Bachelor's degree,Physics,3 to 5 years,Python,110000,1,110000
3536,USD,Male,United States,45,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",NA,Doctoral degree,A humanities discipline,6 to 10 years,NA,175000,1,175000
3537,USD,Male,United States,28,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",NA,Professional degree,NA,3 to 5 years,R,80000,1,80000
3538,USD,Male,United States,53,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by professional services/consulting firm,Yes,Doctoral degree,Electrical Engineering,More than 10 years,Python,140000,1,140000
3539,USD,Male,United States,36,Employed full-time,NA,NA,Yes,NA,DBA/Database Engineer,Fine,Employed by company that makes advanced analytic software,Yes,Master's degree,Computer Science,3 to 5 years,NA,190000,1,190000
3540,USD,Female,United States,29,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by professional services/consulting firm,NA,Master's degree,Other,3 to 5 years,R,70000,1,70000
3541,USD,Female,United States,27,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Bachelor's degree,NA,3 to 5 years,Python,103000,1,103000
3542,USD,Male,United States,49,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that performs advanced analytics,No,Master's degree,Computer Science,3 to 5 years,Python,70000,1,70000
3543,USD,Female,United States,27,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,A social science,3 to 5 years,Python,110000,1,110000
3544,USD,Female,United States,33,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,More than 10 years,R,NA,1,NA
3545,USD,Female,United States,43,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by professional services/consulting firm,No,Master's degree,Mathematics or statistics,More than 10 years,Python,180000,1,180000
3546,USD,Male,United States,36,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",NA,Doctoral degree,Computer Science,More than 10 years,Python,120000,1,120000
3547,USD,Male,United States,35,Employed full-time,NA,NA,Yes,NA,Engineer,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,Mathematics or statistics,6 to 10 years,Python,80000,1,80000
3548,USD,Male,United States,36,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Computer Science,More than 10 years,Python,99000,1,99000
3549,USD,Male,United States,28,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Computer Science,6 to 10 years,Python,120000,1,120000
3550,USD,Male,United States,26,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Computer Science,3 to 5 years,Python,125000,1,125000
3551,USD,Male,United States,34,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by company that makes advanced analytic software,NA,Doctoral degree,A social science,More than 10 years,R,250000,1,250000
3552,USD,Female,United States,23,Employed full-time,NA,NA,Yes,NA,Predictive Modeler,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Mathematics or statistics,3 to 5 years,Python,80000,1,80000
3553,USD,Male,United States,32,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by professional services/consulting firm,NA,Professional degree,NA,6 to 10 years,R,135000,1,135000
3554,USD,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that doesn't perform advanced analytics,NA,Doctoral degree,Other,6 to 10 years,Python,131000,1,131000
3555,USD,Male,United States,30,Employed full-time,NA,NA,Yes,NA,Other,Poorly,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Sort of (Explain more),Bachelor's degree,Management information systems,6 to 10 years,Python,155000,1,155000
3556,USD,Male,United States,30,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by company that makes advanced analytic software,Yes,Bachelor's degree,Computer Science,6 to 10 years,R,70000,1,70000
3557,USD,Male,United States,40,Employed full-time,NA,NA,Yes,NA,Data Scientist,Poorly,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",NA,Master's degree,Physics,More than 10 years,Python,120000,1,120000
3558,USD,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by a company that performs advanced analytics,No,Master's degree,Computer Science,1 to 2 years,R,85000,1,85000
3559,USD,Male,United States,38,Employed full-time,NA,NA,Yes,NA,Other,Perfectly,Employed by company that makes advanced analytic software,Yes,Bachelor's degree,Management information systems,More than 10 years,R,3.00E+05,1,3.00E+05
3560,USD,Male,United States,36,Employed full-time,NA,NA,Yes,NA,Programmer,Fine,Employed by a company that performs advanced analytics,No,Bachelor's degree,Computer Science,1 to 2 years,Python,2.00E+05,1,2.00E+05
3561,USD,Male,United States,33,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Physics,3 to 5 years,NA,91000,1,91000
3562,USD,Male,United States,50,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Poorly,Employed by college or university,Yes,Doctoral degree,Psychology,More than 10 years,R,250000,1,250000
3563,USD,Male,United States,33,Employed full-time,NA,NA,Yes,NA,Statistician,Fine,Employed by college or university,Yes,Master's degree,Mathematics or statistics,3 to 5 years,Python,54000,1,54000
3564,USD,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Predictive Modeler,NA,NA,Yes,Doctoral degree,Mathematics or statistics,More than 10 years,Python,87000,1,87000
3565,USD,Male,United States,36,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Computer Science,More than 10 years,Java,130000,1,130000
3566,USD,Male,United States,60,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Software Developer/Software Engineer,Poorly,Self-employed,No,Some college/university study without earning a bachelor's degree,Mathematics or statistics,More than 10 years,Python,170000,1,170000
3567,USD,Male,United States,51,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by college or university,Yes,Master's degree,NA,3 to 5 years,R,66000,1,66000
3568,USD,Male,United States,48,Employed full-time,NA,NA,Yes,NA,Other,Perfectly,Employed by a company that performs advanced analytics,Sort of (Explain more),Doctoral degree,Psychology,More than 10 years,R,2.00E+05,1,2.00E+05
3569,USD,Male,United States,28,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,Yes,Doctoral degree,Biology,3 to 5 years,Python,33000,1,33000
3570,USD,Female,United States,27,Employed full-time,NA,NA,Yes,NA,Statistician,Fine,Employed by college or university,No,Master's degree,Mathematics or statistics,1 to 2 years,SAS,NA,1,NA
3571,USD,Male,United States,46,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Self-employed,Yes,Master's degree,Electrical Engineering,1 to 2 years,Python,1.00E+05,1,1.00E+05
3572,USD,Male,United States,40,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,6 to 10 years,Python,110000,1,110000
3573,USD,Male,United States,31,Employed part-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by a company that doesn't perform advanced analytics,Yes,Doctoral degree,Engineering (non-computer focused),6 to 10 years,Python,1.00E+05,1,1.00E+05
3574,USD,Male,United States,36,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by company that makes advanced analytic software,Sort of (Explain more),Bachelor's degree,Computer Science,More than 10 years,Python,150000,1,150000
3575,USD,Male,United States,40,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Perfectly,Self-employed,NA,Doctoral degree,Physics,More than 10 years,R,350000,1,350000
3576,USD,Male,United States,32,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,A social science,6 to 10 years,R,82500,1,82500
3577,USD,Male,United States,35,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,A social science,3 to 5 years,R,135000,1,135000
3578,USD,Male,United States,24,Employed part-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,Sort of (Explain more),Bachelor's degree,Physics,3 to 5 years,NA,45000,1,45000
3579,USD,Male,United States,32,Employed full-time,NA,NA,Yes,NA,Other,Fine,"Employed by professional services/consulting firm,Employed by a company that doesn't perform advanced analytics",Yes,Master's degree,A social science,More than 10 years,Other,88000,1,88000
3580,USD,Female,United States,30,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Bachelor's degree,Mathematics or statistics,6 to 10 years,SQL,110000,1,110000
3581,USD,Male,United States,41,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Other,Less than a year,Python,50000,1,50000
3582,USD,Male,United States,48,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Computer Science,6 to 10 years,Python,195000,1,195000
3583,USD,Male,United States,22,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by professional services/consulting firm,NA,Bachelor's degree,Mathematics or statistics,1 to 2 years,Python,60000,1,60000
3584,USD,Male,United States,44,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Sort of (Explain more),Master's degree,"Information technology, networking, or system administration",3 to 5 years,Scala,120000,1,120000
3585,USD,Male,United States,56,Employed full-time,NA,NA,Yes,NA,Other,Poorly,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,A social science,More than 10 years,R,150000,1,150000
3586,USD,Female,United States,56,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Researcher,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Mathematics or statistics,1 to 2 years,R,15000,1,15000
3587,USD,Male,United States,33,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Doctoral degree,Physics,6 to 10 years,Python,150000,1,150000
3588,USD,Female,United States,26,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by company that makes advanced analytic software,Sort of (Explain more),Master's degree,A humanities discipline,1 to 2 years,Python,60000,1,60000
3589,USD,Female,United States,27,Employed full-time,NA,NA,Yes,NA,Statistician,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Professional degree,NA,3 to 5 years,R,40000,1,40000
3590,USD,Male,United States,22,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Bachelor's degree,Computer Science,1 to 2 years,Python,65000,1,65000
3591,USD,Male,United States,24,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by professional services/consulting firm,NA,Master's degree,Engineering (non-computer focused),3 to 5 years,Python,130000,1,130000
3592,USD,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Data Scientist,Poorly,Employed by professional services/consulting firm,NA,Bachelor's degree,Mathematics or statistics,More than 10 years,Python,127000,1,127000
3593,USD,Female,United States,23,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by college or university,NA,Master's degree,Mathematics or statistics,1 to 2 years,NA,25000,1,25000
3594,USD,Male,United States,32,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by a company that performs advanced analytics,Yes,Doctoral degree,Electrical Engineering,6 to 10 years,Python,112000,1,112000
3595,USD,Male,United States,44,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,A social science,More than 10 years,R,350000,1,350000
3596,USD,Female,United States,32,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,"Employed by non-profit or NGO,Employed by government",NA,Master's degree,A social science,6 to 10 years,Python,130000,1,130000
3597,USD,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,NA,Yes,Master's degree,Electrical Engineering,3 to 5 years,Python,70000,1,70000
3598,USD,Male,United States,33,Employed full-time,NA,NA,Yes,NA,Statistician,Perfectly,Employed by government,Yes,Doctoral degree,Mathematics or statistics,More than 10 years,R,75000,1,75000
3599,USD,Female,United States,31,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by professional services/consulting firm,NA,Master's degree,Mathematics or statistics,3 to 5 years,Python,125000,1,125000
3600,USD,Male,United States,35,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by college or university,NA,Master's degree,Computer Science,6 to 10 years,Python,80000,1,80000
3601,USD,Male,United States,25,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by government,NA,Master's degree,Mathematics or statistics,1 to 2 years,R,52000,1,52000
3602,USD,Female,United States,30,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Engineering (non-computer focused),3 to 5 years,Python,110000,1,110000
3603,USD,Male,United States,61,Employed full-time,NA,NA,Yes,NA,DBA/Database Engineer,Fine,Employed by college or university,Yes,Bachelor's degree,NA,6 to 10 years,Python,80000,1,80000
3604,USD,Male,United States,62,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Fine,"Employed by a company that doesn't perform advanced analytics,Employed by non-profit or NGO",NA,Bachelor's degree,Other,More than 10 years,Python,2.00E+05,1,2.00E+05
3605,USD,Male,United States,37,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Fine,Self-employed,NA,Master's degree,Computer Science,6 to 10 years,Python,115000,1,115000
3606,USD,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,Sort of (Explain more),Doctoral degree,A social science,More than 10 years,R,180000,1,180000
3607,USD,Male,United States,25,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by company that makes advanced analytic software,No,Bachelor's degree,Mathematics or statistics,1 to 2 years,Python,95000,1,95000
3608,USD,Male,United States,36,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,Employed by a company that doesn't perform advanced analytics,No,Professional degree,NA,1 to 2 years,R,80000,1,80000
3609,USD,Male,United States,43,Employed full-time,NA,NA,Yes,NA,DBA/Database Engineer,Poorly,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,Management information systems,More than 10 years,Python,160000,1,160000
3610,USD,Male,United States,32,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Doctoral degree,Engineering (non-computer focused),6 to 10 years,Python,125000,1,125000
3611,USD,Male,United States,33,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by college or university,Yes,Doctoral degree,Computer Science,More than 10 years,R,105000,1,105000
3612,USD,Female,United States,22,Employed full-time,NA,NA,Yes,NA,Data Scientist,NA,NA,NA,Bachelor's degree,Mathematics or statistics,3 to 5 years,Python,90000,1,90000
3613,USD,Female,United States,31,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Bachelor's degree,Mathematics or statistics,3 to 5 years,C/C++/C#,110000,1,110000
3614,USD,Male,United States,26,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by company that makes advanced analytic software,NA,Master's degree,A social science,3 to 5 years,Python,95000,1,95000
3615,USD,Male,United States,58,Employed full-time,NA,NA,Yes,NA,Computer Scientist,Fine,Employed by college or university,Yes,Doctoral degree,Computer Science,More than 10 years,Python,102000,1,102000
3616,USD,Male,United States,1,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,NA,Yes,Master's degree,Other,More than 10 years,Other,1.00E+05,1,1.00E+05
3617,USD,Male,United States,23,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that doesn't perform advanced analytics,NA,Master's degree,Mathematics or statistics,6 to 10 years,R,73000,1,73000
3618,USD,Male,United States,27,Employed full-time,NA,NA,Yes,NA,Data Scientist,Poorly,Employed by company that makes advanced analytic software,NA,Master's degree,Computer Science,3 to 5 years,Python,95000,1,95000
3619,USD,Female,United States,30,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by company that makes advanced analytic software,NA,Master's degree,Computer Science,3 to 5 years,Java,78000,1,78000
3620,USD,Female,United States,23,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,No,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,Python,37000,1,37000
3621,USD,Male,United States,40,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,No,Bachelor's degree,Management information systems,More than 10 years,Scala,175000,1,175000
3622,USD,Male,United States,40,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Doctoral degree,Computer Science,More than 10 years,Python,3.00E+05,1,3.00E+05
3623,USD,Male,United States,44,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Poorly,Employed by a company that performs advanced analytics,No,Master's degree,Engineering (non-computer focused),More than 10 years,Python,125000,1,125000
3624,USD,Male,United States,22,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by professional services/consulting firm,Yes,Bachelor's degree,NA,1 to 2 years,R,80000,1,80000
3625,USD,Male,United States,46,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by college or university,Sort of (Explain more),Doctoral degree,Mathematics or statistics,More than 10 years,Python,75000,1,75000
3626,USD,Male,United States,34,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Mathematics or statistics,3 to 5 years,Python,80000,1,80000
3627,USD,Male,United States,35,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Doctoral degree,Physics,6 to 10 years,Python,180000,1,180000
3628,USD,Female,United States,53,Employed part-time,NA,NA,Yes,NA,Other,Poorly,Employed by a company that doesn't perform advanced analytics,Yes,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,R,80000,1,80000
3629,USD,Male,United States,36,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Bachelor's degree,Other,6 to 10 years,Python,148000,1,148000
3630,USD,Male,United States,25,Employed part-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by college or university,No,Master's degree,Electrical Engineering,1 to 2 years,Matlab,85000,1,85000
3631,USD,Female,United States,31,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Mathematics or statistics,More than 10 years,Python,113221,1,113221
3632,USD,Male,United States,26,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by professional services/consulting firm,NA,Master's degree,Computer Science,1 to 2 years,Python,96000,1,96000
3633,USD,Male,United States,25,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by a company that performs advanced analytics,Yes,Master's degree,Computer Science,3 to 5 years,Python,120000,1,120000
3634,USD,Male,United States,29,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Bachelor's degree,Physics,6 to 10 years,Python,150000,1,150000
3635,USD,Female,United States,24,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by non-profit or NGO,NA,Master's degree,Mathematics or statistics,1 to 2 years,Python,60000,1,60000
3636,USD,Female,United States,30,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Analyst,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,Python,85000,1,85000
3637,USD,Female,United States,23,Employed part-time,NA,NA,Yes,NA,Researcher,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Master's degree,Psychology,1 to 2 years,NA,14000,1,14000
3638,USD,Female,United States,32,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Professional degree,NA,Less than a year,Python,125000,1,125000
3639,USD,Male,United States,27,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,3 to 5 years,Python,NA,1,NA
3640,USD,Male,United States,32,Employed full-time,NA,NA,Yes,NA,Statistician,Perfectly,Employed by college or university,Yes,Master's degree,Engineering (non-computer focused),6 to 10 years,R,88000,1,88000
3641,USD,Male,United States,35,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by non-profit or NGO,No,Doctoral degree,Biology,Less than a year,R,55000,1,55000
3642,USD,Male,United States,34,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Engineering (non-computer focused),More than 10 years,Python,125000,1,125000
3643,USD,Female,United States,28,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Analyst,Fine,Self-employed,No,Master's degree,Mathematics or statistics,6 to 10 years,SQL,20000,1,20000
3644,USD,Female,United States,42,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Master's degree,A social science,More than 10 years,Python,94500,1,94500
3645,USD,Male,United States,38,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by a company that doesn't perform advanced analytics,No,Some college/university study without earning a bachelor's degree,Fine arts or performing arts,3 to 5 years,SQL,85000,1,85000
3646,USD,Male,United States,25,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Statistician,Perfectly,Self-employed,No,Doctoral degree,A social science,More than 10 years,SAS,3.00E+05,1,3.00E+05
3647,USD,Male,United States,34,Employed full-time,NA,NA,Yes,NA,Business Analyst,Poorly,Employed by a company that performs advanced analytics,No,Master's degree,Engineering (non-computer focused),6 to 10 years,SAS,1.00E+05,1,1.00E+05
3648,USD,Male,United States,24,Employed full-time,NA,NA,Yes,NA,Business Analyst,Poorly,Employed by professional services/consulting firm,No,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,R,70000,1,70000
3649,USD,Male,United States,23,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Bachelor's degree,Physics,1 to 2 years,Python,65000,1,65000
3650,USD,Female,United States,24,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Mathematics or statistics,1 to 2 years,Python,110000,1,110000
3651,USD,Female,United States,27,Employed full-time,NA,NA,Yes,NA,Business Analyst,Poorly,Employed by a company that performs advanced analytics,Yes,Bachelor's degree,NA,3 to 5 years,Python,1.00E+05,1,1.00E+05
3652,USD,Male,United States,46,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Master's degree,NA,6 to 10 years,Python,165000,1,165000
3653,USD,Male,United States,34,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by company that makes advanced analytic software,No,Doctoral degree,Electrical Engineering,More than 10 years,Python,149000,1,149000
3654,USD,Female,United States,26,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,Physics,3 to 5 years,Python,67500,1,67500
3655,USD,Male,United States,35,Employed full-time,NA,NA,Yes,NA,Engineer,Fine,"Employed by non-profit or NGO,Self-employed",Sort of (Explain more),Master's degree,Computer Science,More than 10 years,Python,133000,1,133000
3656,USD,Male,United States,24,Employed full-time,NA,NA,Yes,NA,Data Scientist,NA,NA,NA,Bachelor's degree,A social science,3 to 5 years,R,86000,1,86000
3657,USD,Male,United States,60,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Operations Research Practitioner,Fine,Employed by a company that performs advanced analytics,Yes,Doctoral degree,Physics,More than 10 years,Python,60000,1,60000
3658,USD,Male,United States,28,Employed full-time,NA,NA,Yes,NA,Data Scientist,NA,NA,NA,Doctoral degree,Biology,6 to 10 years,R,155000,1,155000
3659,USD,Male,United States,45,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Self-employed,Yes,Master's degree,Computer Science,More than 10 years,Python,250000,1,250000
3660,USD,Male,United States,29,Employed full-time,NA,NA,Yes,NA,Engineer,Poorly,Employed by company that makes advanced analytic software,Yes,Master's degree,A social science,3 to 5 years,Python,120000,1,120000
3661,USD,Male,United States,63,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Doctoral degree,Physics,More than 10 years,R,155,1,155
3662,USD,Male,United States,50,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Doctoral degree,Physics,More than 10 years,Python,0,1,0
3663,USD,Female,United States,50,Employed full-time,NA,NA,Yes,NA,DBA/Database Engineer,Fine,Employed by a company that performs advanced analytics,No,Bachelor's degree,A humanities discipline,3 to 5 years,Python,1.00E+05,1,1.00E+05
